cluster,2.3.2.1,2.3.2.2,2.3.2.3
0,12,1,2
1,10,5,29
2,32,34,42
3,9,8,0
4,12,4,25
5,15,48,76
6,16,20,22
7,15,0,1
8,1,0,4
9,12,2,18
10,11,1,20
11,31,54,8
12,63,228,71
13,4,0,0
14,0,5,2
15,2,0,9
16,4,1,23
17,5,0,0
18,2,11,8
19,2,0,0
20,28,0,1
21,1,1,0
22,8,85,4
23,12,1,0
24,6,0,0
25,1,1,3
26,3,0,0
27,1,1,0
28,61,9,11
29,2,2,6
30,0,0,3
31,3,0,0
32,0,0,2
33,1,0,11
34,3,33,1
35,5,0,7
