word,code,full_code
обидеться,2.3.2.2,2.3.2.2.2.3.6.1.
облегчить,2.3.2.2,2.3.2.2.3.2.2.
обмануть,2.3.2.1,2.3.2.1.6.4.
обмереть,2.3.2.2,2.3.2.2.2.1.2.1.
обмозговать,2.3.2.1,2.3.2.1.2.2.
обнадежить,2.3.2.1,2.3.2.1.6.4.
обнаружить,2.3.2.1,2.3.2.1.3.1.
обожать,2.3.2.2,2.3.2.2.2.2.2.1.
обожать,2.3.2.2,2.3.2.2.2.2.3.1.1.
обожествлять,2.3.2.2,2.3.2.2.2.2.2.1.
обозлиться,2.3.2.2,2.3.2.2.2.3.7.1.
обозреть,2.3.2.1,2.3.2.1.3.1.
обомлеть,2.3.2.2,2.3.2.2.2.1.2.1.
обратить,2.3.2.3,2.3.2.3.2.2.
обречь,2.3.2.3,2.3.2.3.1.3.
обследовать,2.3.2.1,2.3.2.1.3.1.
обуздать,2.3.2.3,2.3.2.3.1.8.
обуять,2.3.2.2,2.3.2.2.3.3.2.
объяснить,2.3.2.1,2.3.2.1.3.3.
обязать,2.3.2.3,2.3.2.3.1.5.
овладеть,2.3.2.1,2.3.2.1.3.1.
оглянуться,2.3.2.1,2.3.2.1.5.1.
огорошить,2.3.2.2,2.3.2.2.2.1.2.2.
огорчить,2.3.2.2,2.3.2.2.3.4.2.
огорчиться,2.3.2.2,2.3.2.2.3.4.1.
одобрить,2.3.2.3,2.3.2.3.1.6.1.
одобрить,2.3.2.3,2.3.2.3.1.7.1.
одолеть,2.3.2.1,2.3.2.1.3.1.
одолеть,2.3.2.2,2.3.2.2.3.3.2.
одолеть,2.3.2.3,2.3.2.3.1.8.
одуматься,2.3.2.1,2.3.2.1.3.3.
одуматься,2.3.2.3,2.3.2.3.1.4.
одухотворить,2.3.2.2,2.3.2.2.2.2.1.2.
одушевить,2.3.2.2,2.3.2.2.2.1.1.2.
одушевиться,2.3.2.2,2.3.2.2.2.1.1.1.
ожесточить,2.3.2.2,2.3.2.2.2.3.7.2.
ожидать,2.3.2.1,2.3.2.1.6.4.
озабочивать,2.3.2.2,2.3.2.2.2.3.5.2.
озадачить,2.3.2.2,2.3.2.2.2.1.2.2.
озадачить,2.3.2.3,2.3.2.3.1.5.
озарить,2.3.2.1,2.3.2.1.2.5.
озлобить,2.3.2.2,2.3.2.2.2.3.7.2.
озлобиться,2.3.2.2,2.3.2.2.4.3.
околдовать,2.3.2.2,2.3.2.2.2.2.1.2.
окрылить,2.3.2.2,2.3.2.2.2.2.1.2.
окунуться,2.3.2.1,2.3.2.1.4.2.
омрачить,2.3.2.2,2.3.2.2.3.4.2.
опасаться,2.3.2.2,2.3.2.2.2.3.5.1.
опешить,2.3.2.2,2.3.2.2.2.1.2.1.
оплакать,2.3.2.2,2.3.2.2.3.4.1.
опознать,2.3.2.1,2.3.2.1.3.2.
ополоуметь,2.3.2.2,2.3.2.2.4.2.2.
опомниться,2.3.2.1,2.3.2.1.3.3.
опорочить,2.3.2.2,2.3.2.2.2.3.2.1.
опостылеть,2.3.2.2,2.3.2.2.2.3.2.2.
определить,2.3.2.1,2.3.2.1.3.1.
определить,2.3.2.3,2.3.2.3.1.1.
определить,2.3.2.3,2.3.2.3.1.4.
определить,2.3.2.3,2.3.2.3.1.5.
определиться,2.3.2.3,2.3.2.3.1.4.
определять,2.3.2.3,2.3.2.3.1.4.
определять,2.3.2.3,2.3.2.3.1.5.
опровергнуть,2.3.2.3,2.3.2.3.1.7.2.
опротиветь,2.3.2.2,2.3.2.2.2.3.2.2.
опустошить,2.3.2.2,2.3.2.2.2.3.4.2.
ориентировать,2.3.2.3,2.3.2.3.2.2.
ориентироваться,2.3.2.1,2.3.2.1.3.1.
осатанеть,2.3.2.2,2.3.2.2.2.3.2.2.
осатанеть,2.3.2.2,2.3.2.2.4.3.
освежить,2.3.2.1,2.3.2.1.5.1.
освоить,2.3.2.1,2.3.2.1.3.1.
освятить,2.3.2.2,2.3.2.2.2.2.4.
оседлать,2.3.2.3,2.3.2.3.1.3.
осенить,2.3.2.1,2.3.2.1.2.1.
осилить,2.3.2.1,2.3.2.1.3.1.
осилить,2.3.2.3,2.3.2.3.1.8.
оскорбить,2.3.2.2,2.3.2.2.2.3.4.2.
оскорбиться,2.3.2.2,2.3.2.2.2.3.6.1.
оскудевать,2.3.2.2,2.3.2.2.4.2.2.
ослабевать,2.3.2.2,2.3.2.2.4.1.
ослепить,2.3.2.2,2.3.2.2.2.1.1.2.
осмелиться,2.3.2.3,2.3.2.3.1.4.
осознать,2.3.2.1,2.3.2.1.3.3.
оставить,2.3.2.3,2.3.2.3.1.3.
остановить,2.3.2.3,2.3.2.3.1.3.
остановить,2.3.2.3,2.3.2.3.1.6.2.
остановиться,2.3.2.1,2.3.2.1.4.1.
остановиться,2.3.2.3,2.3.2.3.1.4.
остервенеть,2.3.2.2,2.3.2.2.2.3.7.1.
остервениться,2.3.2.2,2.3.2.2.2.3.7.1.
остолбенеть,2.3.2.2,2.3.2.2.4.1.
осточертеть,2.3.2.2,2.3.2.2.2.3.2.2.
остудить,2.3.2.2,2.3.2.2.3.2.2.
остыть,2.3.2.2,2.3.2.2.2.3.2.1.
остыть,2.3.2.2,2.3.2.2.3.2.1.
остыть,2.3.2.2,2.3.2.2.3.3.1.
осудить,2.3.2.1,2.3.2.1.2.6.
осудить,2.3.2.3,2.3.2.3.1.3.
осчастливить,2.3.2.2,2.3.2.2.2.2.1.2.
осязать,2.3.2.1,2.3.2.1.3.3.
отбиться,2.3.2.3,2.3.2.3.1.7.2.
отбросить,2.3.2.3,2.3.2.3.1.7.2.
отважиться,2.3.2.3,2.3.2.3.1.4.
отведать,2.3.2.1,2.3.2.1.3.1.
отвергать,2.3.2.1,2.3.2.1.2.6.
отвергнуть,2.3.2.3,2.3.2.3.1.7.2.
отвести,2.3.2.3,2.3.2.3.1.2.2.
отвести,2.3.2.3,2.3.2.3.1.7.2.
отвлечь,2.3.2.1,2.3.2.1.2.1.
отвлечься,2.3.2.1,2.3.2.1.2.1.
отгадать,2.3.2.1,2.3.2.1.2.5.
отдаться,2.3.2.1,2.3.2.1.4.2.
отказать,2.3.2.1,2.3.2.1.2.6.
отказать,2.3.2.3,2.3.2.3.1.7.2.
отказаться,2.3.2.3,2.3.2.3.1.7.2.
отказываться,2.3.2.3,2.3.2.3.1.7.2.
откинуть,2.3.2.3,2.3.2.3.1.7.2.
отклонить,2.3.2.3,2.3.2.3.1.3.
отклонить,2.3.2.3,2.3.2.3.1.7.2.
отклониться,2.3.2.1,2.3.2.1.2.3.
отклонять,2.3.2.3,2.3.2.3.1.3.
отклонять,2.3.2.3,2.3.2.3.1.7.2.
отключиться,2.3.2.1,2.3.2.1.2.3.
открещиваться,2.3.2.3,2.3.2.3.1.7.2.
открывать,2.3.2.1,2.3.2.1.3.1.
открывать,2.3.2.3,2.3.2.3.1.6.1.
открыть,2.3.2.1,2.3.2.1.3.1.
открыть,2.3.2.3,2.3.2.3.1.6.1.
отлечь,2.3.2.2,2.3.2.2.3.2.1.
отменить,2.3.2.3,2.3.2.3.1.4.
отмести,2.3.2.3,2.3.2.3.1.7.2.
отметить,2.3.2.1,2.3.2.1.4.1.
отмечать,2.3.2.1,2.3.2.1.4.1.
отмучиться,2.3.2.2,2.3.2.2.2.3.4.1.
отнести,2.3.2.1,2.3.2.1.2.6.
отнестись,2.3.2.1,2.3.2.1.2.6.
отогнать,2.3.2.3,2.3.2.3.1.2.1.1.
отогреть,2.3.2.2,2.3.2.2.3.2.2.
отозваться,2.3.2.2,2.3.2.2.2.2.3.2.1.
отойти,2.3.2.2,2.3.2.2.3.2.1.
оторопеть,2.3.2.2,2.3.2.2.2.1.2.1.
отослать,2.3.2.3,2.3.2.3.1.2.1.2.
отпечататься,2.3.2.1,2.3.2.1.5.1.
отправить,2.3.2.3,2.3.2.3.1.2.1.2.
отправляться,2.3.2.1,2.3.2.1.2.1.
отпугнуть,2.3.2.2,2.3.2.2.2.3.2.2.
отпугнуть,2.3.2.2,2.3.2.2.2.3.5.2.
отпугнуть,2.3.2.2,2.3.2.2.2.3.6.2.
отпугнуть,2.3.2.3,2.3.2.3.1.2.1.3.
отравить,2.3.2.2,2.3.2.2.2.3.4.2.
отрезвить,2.3.2.2,2.3.2.2.3.2.2.
отрезвиться,2.3.2.2,2.3.2.2.3.2.1.
отрезвиться,2.3.2.2,2.3.2.2.4.2.1.
отречься,2.3.2.3,2.3.2.3.1.7.2.
отрешиться,2.3.2.1,2.3.2.1.2.3.
отринуть,2.3.2.3,2.3.2.3.1.7.2.
отрицать,2.3.2.1,2.3.2.1.2.6.
отрядить,2.3.2.3,2.3.2.3.1.2.1.2.
отслеживать,2.3.2.1,2.3.2.1.3.1.
отступить,2.3.2.3,2.3.2.3.1.7.2.
отступиться,2.3.2.3,2.3.2.3.1.7.2.
оттолкнуть,2.3.2.2,2.3.2.2.2.3.2.2.
отчаяться,2.3.2.2,2.3.2.2.2.3.4.1.
отчаяться,2.3.2.2,2.3.2.2.3.4.1.
отягощать,2.3.2.2,2.3.2.2.2.3.4.2.
охватить,2.3.2.2,2.3.2.2.2.1.1.2.
охладеть,2.3.2.2,2.3.2.2.4.1.
охладить,2.3.2.2,2.3.2.2.2.3.2.2.
охладить,2.3.2.2,2.3.2.2.3.2.2.
охладиться,2.3.2.2,2.3.2.2.2.3.2.1.
охладиться,2.3.2.2,2.3.2.2.4.1.
охотиться,2.3.2.3,2.3.2.3.3.
оценить,2.3.2.1,2.3.2.1.2.6.
очаровать,2.3.2.2,2.3.2.2.2.2.1.2.
очаровывать,2.3.2.2,2.3.2.2.2.2.1.2.
очеловечить,2.3.2.2,2.3.2.2.2.2.2.2.
очистить,2.3.2.2,2.3.2.2.3.2.2.
очиститься,2.3.2.2,2.3.2.2.3.2.1.
очуметь,2.3.2.2,2.3.2.2.4.2.2.
ошарашить,2.3.2.2,2.3.2.2.2.1.2.2.
ошеломить,2.3.2.2,2.3.2.2.2.1.2.2.
памятовать,2.3.2.1,2.3.2.1.5.1.
перебеситься,2.3.2.2,2.3.2.2.2.3.7.1.
переболеть,2.3.2.2,2.3.2.2.3.2.1.
перебрать,2.3.2.1,2.3.2.1.2.3.
перебрать,2.3.2.1,2.3.2.1.3.1.
перевалить,2.3.2.3,2.3.2.3.1.5.
переварить,2.3.2.1,2.3.2.1.3.1.
перевернуть,2.3.2.1,2.3.2.1.3.1.
перевернуть,2.3.2.2,2.3.2.2.2.1.1.2.
переволноваться,2.3.2.2,2.3.2.2.2.3.5.1.
перегнать,2.3.2.3,2.3.2.3.1.2.2.
перегореть,2.3.2.2,2.3.2.2.4.3.
перегрузить,2.3.2.3,2.3.2.3.1.5.
передоверить,2.3.2.3,2.3.2.3.1.5.
передумать,2.3.2.1,2.3.2.1.2.1.
передумать,2.3.2.3,2.3.2.3.1.4.
переживать,2.3.2.2,2.3.2.2.2.3.4.1.
переживать,2.3.2.2,2.3.2.2.2.3.5.1.
пережить,2.3.2.2,2.3.2.2.2.1.1.1.
пережить,2.3.2.3,2.3.2.3.4.
перезабыть,2.3.2.1,2.3.2.1.5.2.
переиграть,2.3.2.3,2.3.2.3.1.4.
перейти,2.3.2.1,2.3.2.1.1.
переключить,2.3.2.1,2.3.2.1.4.1.
переключиться,2.3.2.1,2.3.2.1.4.1.
переложить,2.3.2.3,2.3.2.3.1.5.
переломать,2.3.2.3,2.3.2.3.1.3.
переломить,2.3.2.3,2.3.2.3.1.8.
переломить,2.3.2.3,2.3.2.3.4.
перенести,2.3.2.3,2.3.2.3.4.
перенестись,2.3.2.1,2.3.2.1.2.4.2.
перенять,2.3.2.1,2.3.2.1.3.2.
переоценить,2.3.2.1,2.3.2.1.2.6.
перепоручить,2.3.2.3,2.3.2.3.1.5.
перепугать,2.3.2.2,2.3.2.2.2.3.5.2.
перепугаться,2.3.2.2,2.3.2.2.2.3.5.1.
пересилить,2.3.2.3,2.3.2.3.1.8.
переслать,2.3.2.3,2.3.2.3.1.2.2.
пересмотреть,2.3.2.1,2.3.2.1.2.6.
перестрадать,2.3.2.2,2.3.2.2.2.3.4.1.
перетерпеть,2.3.2.3,2.3.2.3.4.
переубедить,2.3.2.1,2.3.2.1.6.2.
перечувствовать,2.3.2.2,2.3.2.2.1.
петь,2.3.2.2,2.3.2.2.2.2.1.1.
печалить,2.3.2.2,2.3.2.2.3.4.2.
печалиться,2.3.2.2,2.3.2.2.3.4.1.
плакать,2.3.2.2,2.3.2.2.3.4.1.
пламенеть,2.3.2.2,2.3.2.2.2.1.1.1.
планирование,2.3.2.3,2.3.2.3.1.4.
планировать,2.3.2.3,2.3.2.3.1.4.
плевать,2.3.2.2,2.3.2.2.2.3.3.
пленить,2.3.2.2,2.3.2.2.2.2.1.2.
побаиваться,2.3.2.2,2.3.2.2.2.3.5.1.
победить,2.3.2.3,2.3.2.3.1.8.
побороть,2.3.2.3,2.3.2.3.1.8.
побудить,2.3.2.3,2.3.2.3.2.1.
побуждать,2.3.2.3,2.3.2.3.2.1.
повелевать,2.3.2.3,2.3.2.3.1.1.
повторить,2.3.2.1,2.3.2.1.5.1.
повязать,2.3.2.3,2.3.2.3.1.3.
поглотить,2.3.2.1,2.3.2.1.4.2.
погонять,2.3.2.3,2.3.2.3.1.2.1.1.
погонять,2.3.2.3,2.3.2.3.2.3.
подавить,2.3.2.2,2.3.2.2.2.3.4.2.
подавить,2.3.2.2,2.3.2.2.3.3.2.
подавить,2.3.2.3,2.3.2.3.1.3.
подавить,2.3.2.3,2.3.2.3.1.8.
податься,2.3.2.3,2.3.2.3.1.7.1.
подбить,2.3.2.3,2.3.2.3.2.1.
подвигнуть,2.3.2.3,2.3.2.3.2.2.
подглядеть,2.3.2.1,2.3.2.1.3.1.
подгонять,2.3.2.3,2.3.2.3.2.3.
поддаться,2.3.2.3,2.3.2.3.1.7.1.
поддержание,2.3.2.3,2.3.2.3.1.7.1.
поддержать,2.3.2.3,2.3.2.3.1.7.1.
поддерживать,2.3.2.3,2.3.2.3.1.7.1.
поджать,2.3.2.3,2.3.2.3.1.3.
поджечь,2.3.2.3,2.3.2.3.2.1.
подзабыть,2.3.2.1,2.3.2.1.5.2.
подметить,2.3.2.1,2.3.2.1.4.1.
подмывать,2.3.2.3,2.3.2.3.3.
поднажать,2.3.2.3,2.3.2.3.1.3.
поднять,2.3.2.3,2.3.2.3.1.3.
поднять,2.3.2.3,2.3.2.3.2.1.
подогнать,2.3.2.3,2.3.2.3.1.2.2.
подогреть,2.3.2.2,2.3.2.2.2.1.1.2.
подозревать,2.3.2.1,2.3.2.1.2.5.
подослать,2.3.2.3,2.3.2.3.1.2.1.2.
подразумевать,2.3.2.1,2.3.2.1.2.5.
подразумеваться,2.3.2.1,2.3.2.1.2.5.
подружиться,2.3.2.2,2.3.2.2.2.2.3.1.1.
подсмотреть,2.3.2.1,2.3.2.1.3.1.
подстегнуть,2.3.2.3,2.3.2.3.2.3.
подстрекнуть,2.3.2.3,2.3.2.3.2.1.
подтвердить,2.3.2.3,2.3.2.3.1.7.1.
подтолкнуть,2.3.2.3,2.3.2.3.2.1.
подтолкнуть,2.3.2.3,2.3.2.3.2.3.
подумать,2.3.2.1,2.3.2.1.2.1.
подумывать,2.3.2.3,2.3.2.3.1.4.
подхватить,2.3.2.1,2.3.2.1.3.1.
подхлестнуть,2.3.2.3,2.3.2.3.2.3.
подчинить,2.3.2.3,2.3.2.3.1.3.
позабыть,2.3.2.1,2.3.2.1.5.2.
позволить,2.3.2.3,2.3.2.3.1.6.1.
позволять,2.3.2.3,2.3.2.3.1.6.1.
познать,2.3.2.1,2.3.2.1.3.1.
показаться,2.3.2.2,2.3.2.2.2.2.3.1.1.
поклоняться,2.3.2.2,2.3.2.2.2.2.2.1.
поклоняться,2.3.2.2,2.3.2.2.2.2.4.
покорить,2.3.2.2,2.3.2.2.2.2.2.2.
покорить,2.3.2.3,2.3.2.3.1.3.
полагать,2.3.2.1,2.3.2.1.2.1.
полагать,2.3.2.1,2.3.2.1.2.5.
положить,2.3.2.3,2.3.2.3.1.4.
положиться,2.3.2.1,2.3.2.1.6.3.
полюбить,2.3.2.2,2.3.2.2.2.2.2.1.
полюбить,2.3.2.2,2.3.2.2.2.2.3.1.1.
полюбиться,2.3.2.2,2.3.2.2.2.2.2.2.
полюбиться,2.3.2.2,2.3.2.2.2.2.3.1.1.
помешаться,2.3.2.1,2.3.2.1.4.2.
помешаться,2.3.2.2,2.3.2.2.2.2.2.1.
помнить,2.3.2.1,2.3.2.1.5.1.
помниться,2.3.2.1,2.3.2.1.5.1.
помрачиться,2.3.2.2,2.3.2.2.4.1.
помыслить,2.3.2.1,2.3.2.1.2.4.1.
помышлять,2.3.2.3,2.3.2.3.1.4.
помянуть,2.3.2.1,2.3.2.1.5.1.
поникать,2.3.2.2,2.3.2.2.3.3.1.
понимать,2.3.2.1,2.3.2.1.3.1.
понудить,2.3.2.3,2.3.2.3.1.3.
понукать,2.3.2.3,2.3.2.3.1.3.
понукать,2.3.2.3,2.3.2.3.2.3.
понять,2.3.2.1,2.3.2.1.3.1.
понять,2.3.2.1,2.3.2.1.3.3.
попереть,2.3.2.3,2.3.2.3.1.2.1.1.
попомнить,2.3.2.1,2.3.2.1.5.1.
попрекать,2.3.2.2,2.3.2.2.2.3.2.1.
попросить,2.3.2.3,2.3.2.3.1.2.1.1.
поразить,2.3.2.2,2.3.2.2.2.1.2.2.
поразиться,2.3.2.2,2.3.2.2.2.1.2.1.
поразмыслить,2.3.2.1,2.3.2.1.2.2.
порицать,2.3.2.1,2.3.2.1.2.6.
порицать,2.3.2.2,2.3.2.2.2.3.2.1.
поручить,2.3.2.3,2.3.2.3.1.5.
порываться,2.3.2.3,2.3.2.3.3.
послать,2.3.2.3,2.3.2.3.1.2.1.2.
постичь,2.3.2.1,2.3.2.1.3.1.
постичь,2.3.2.1,2.3.2.1.3.3.
посудить,2.3.2.1,2.3.2.1.2.6.
потерпеть,2.3.2.3,2.3.2.3.4.
поторапливать,2.3.2.3,2.3.2.3.2.3.
потрафить,2.3.2.2,2.3.2.2.2.2.3.1.2.
потрясти,2.3.2.2,2.3.2.2.2.1.1.2.
почесть,2.3.2.1,2.3.2.1.2.6.
почитать,2.3.2.2,2.3.2.2.2.2.4.
поэтизировать,2.3.2.1,2.3.2.1.2.6.
превзойти,2.3.2.1,2.3.2.1.3.1.
превозмочь,2.3.2.3,2.3.2.3.1.8.
предвидеть,2.3.2.1,2.3.2.1.2.5.
предвкушать,2.3.2.2,2.3.2.2.1.
предвосхитить,2.3.2.1,2.3.2.1.2.5.
предлагать,2.3.2.3,2.3.2.3.1.1.
предлагаться,2.3.2.3,2.3.2.3.1.1.
предложить,2.3.2.3,2.3.2.3.1.1.
предназначить,2.3.2.3,2.3.2.3.1.1.
предназначить,2.3.2.3,2.3.2.3.1.4.
предначертать,2.3.2.3,2.3.2.3.1.1.
предопределить,2.3.2.3,2.3.2.3.1.4.
предоставить,2.3.2.3,2.3.2.3.1.6.1.
предоставление,2.3.2.3,2.3.2.3.1.6.1.
предоставлять,2.3.2.3,2.3.2.3.1.6.1.
предписать,2.3.2.3,2.3.2.3.1.1.
предполагать,2.3.2.3,2.3.2.3.1.4.
предположить,2.3.2.1,2.3.2.1.2.5.
предпочесть,2.3.2.1,2.3.2.1.2.6.
предпочесть,2.3.2.2,2.3.2.2.2.2.3.1.1.
предпочесть,2.3.2.3,2.3.2.3.1.4.
предрасположить,2.3.2.2,2.3.2.2.2.2.3.1.2.
предрасположить,2.3.2.3,2.3.2.3.2.2.
предрешить,2.3.2.3,2.3.2.3.1.4.
представить,2.3.2.1,2.3.2.1.2.4.1.
представляться,2.3.2.1,2.3.2.1.2.4.1.
предугадать,2.3.2.1,2.3.2.1.2.5.
предусмотреть,2.3.2.1,2.3.2.1.2.5.
предчувствовать,2.3.2.2,2.3.2.2.1.
презирать,2.3.2.2,2.3.2.2.2.3.2.1.
презреть,2.3.2.2,2.3.2.2.2.3.3.
преклоняться,2.3.2.2,2.3.2.2.2.2.4.
прельстить,2.3.2.2,2.3.2.2.2.2.2.2.
прельстить,2.3.2.2,2.3.2.2.2.2.3.1.2.
прельстить,2.3.2.3,2.3.2.3.3.
прельститься,2.3.2.2,2.3.2.2.2.2.3.1.1.
прельститься,2.3.2.3,2.3.2.3.3.
пренебречь,2.3.2.2,2.3.2.2.2.3.2.1.
пренебречь,2.3.2.2,2.3.2.2.2.3.3.
преодолеть,2.3.2.3,2.3.2.3.1.8.
препоручить,2.3.2.3,2.3.2.3.1.5.
претендовать,2.3.2.3,2.3.2.3.3.
претерпеть,2.3.2.3,2.3.2.3.4.
преувеличить,2.3.2.1,2.3.2.1.2.6.
преуменьшить,2.3.2.1,2.3.2.1.2.6.
приветствовать,2.3.2.3,2.3.2.3.1.7.1.
привлекать,2.3.2.1,2.3.2.1.4.2.
привлечение,2.3.2.1,2.3.2.1.4.2.
привлечь,2.3.2.1,2.3.2.1.4.2.
привлечь,2.3.2.2,2.3.2.2.2.2.3.1.2.
приволочь,2.3.2.3,2.3.2.3.1.2.2.
приворожить,2.3.2.2,2.3.2.2.2.2.2.2.
привыкнуть,2.3.2.1,2.3.2.1.5.1.
привязать,2.3.2.2,2.3.2.2.2.2.3.1.2.
привязаться,2.3.2.2,2.3.2.2.2.2.3.1.1.
приглянуться,2.3.2.2,2.3.2.2.2.2.3.1.2.
пригнать,2.3.2.3,2.3.2.3.1.2.2.
пригорюниться,2.3.2.2,2.3.2.2.3.4.1.
придумать,2.3.2.1,2.3.2.1.2.4.1.
придумать,2.3.2.3,2.3.2.3.1.4.
прижать,2.3.2.3,2.3.2.3.1.3.
призадуматься,2.3.2.1,2.3.2.1.2.2.
призвать,2.3.2.3,2.3.2.3.1.3.
призвать,2.3.2.3,2.3.2.3.3.
признать,2.3.2.3,2.3.2.3.1.7.1.
приказать,2.3.2.3,2.3.2.3.1.1.
прикинуть,2.3.2.1,2.3.2.1.2.1.
прикипеть,2.3.2.2,2.3.2.2.2.2.3.1.1.
приметить,2.3.2.1,2.3.2.1.4.1.
принимать,2.3.2.1,2.3.2.1.1.
принимать,2.3.2.1,2.3.2.1.3.3.
принудить,2.3.2.3,2.3.2.3.1.3.
принять,2.3.2.1,2.3.2.1.1.
принять,2.3.2.1,2.3.2.1.3.3.
припереть,2.3.2.3,2.3.2.3.1.3.
приписать,2.3.2.1,2.3.2.1.2.6.
припомнить,2.3.2.1,2.3.2.1.5.1.
припомниться,2.3.2.1,2.3.2.1.5.1.
прислать,2.3.2.3,2.3.2.3.1.2.1.2.
прислушаться,2.3.2.1,2.3.2.1.4.1.
присмотреться,2.3.2.1,2.3.2.1.3.3.
присоединиться,2.3.2.3,2.3.2.3.1.7.1.
присохнуть,2.3.2.2,2.3.2.2.2.2.2.1.
приспичить,2.3.2.3,2.3.2.3.3.
пристраститься,2.3.2.2,2.3.2.2.2.2.3.1.1.
притащить,2.3.2.3,2.3.2.3.1.2.2.
притерпеться,2.3.2.3,2.3.2.3.4.
притупиться,2.3.2.2,2.3.2.2.3.2.1.
притязать,2.3.2.3,2.3.2.3.3.
приуныть,2.3.2.2,2.3.2.2.3.4.1.
причесть,2.3.2.1,2.3.2.1.2.6.
причислить,2.3.2.1,2.3.2.1.2.6.
пришибить,2.3.2.2,2.3.2.2.2.3.4.2.
проведать,2.3.2.1,2.3.2.1.3.2.
проводить,2.3.2.3,2.3.2.3.1.2.1.1.
проглотить,2.3.2.2,2.3.2.2.2.3.6.1.
прогнать,2.3.2.3,2.3.2.3.1.2.1.1.
прогневать,2.3.2.2,2.3.2.2.2.3.7.2.
прогневаться,2.3.2.2,2.3.2.2.2.3.7.1.
прогневить,2.3.2.2,2.3.2.2.2.3.7.2.
продержать,2.3.2.3,2.3.2.3.1.3.
продумать,2.3.2.1,2.3.2.1.2.2.
проектирование,2.3.2.3,2.3.2.3.1.4.
проектировать,2.3.2.3,2.3.2.3.1.4.
прозреть,2.3.2.1,2.3.2.1.3.3.
промучиться,2.3.2.2,2.3.2.2.2.3.4.1.
пронзить,2.3.2.2,2.3.2.2.2.1.1.2.
проникнуть,2.3.2.1,2.3.2.1.3.3.
проникнуться,2.3.2.1,2.3.2.1.3.3.
проницать,2.3.2.1,2.3.2.1.3.1.
просмотреть,2.3.2.1,2.3.2.1.3.1.
протестовать,2.3.2.3,2.3.2.3.1.7.2.
прочувствовать,2.3.2.2,2.3.2.2.1.
психовать,2.3.2.2,2.3.2.2.2.3.5.1.
пугать,2.3.2.2,2.3.2.2.2.3.5.2.
пугать,2.3.2.3,2.3.2.3.1.2.1.3.
пугаться,2.3.2.2,2.3.2.2.2.3.5.1.
пустеть,2.3.2.2,2.3.2.2.4.1.
путаться,2.3.2.1,2.3.2.1.2.3.
пылать,2.3.2.2,2.3.2.2.2.1.1.1.
пытать,2.3.2.2,2.3.2.2.2.3.4.2.
пыхать,2.3.2.2,2.3.2.2.2.1.1.1.
пьянеть,2.3.2.2,2.3.2.2.2.1.1.1.
пьянить,2.3.2.2,2.3.2.2.2.1.1.2.
радовать,2.3.2.2,2.3.2.2.2.2.1.2.
радоваться,2.3.2.2,2.3.2.2.2.2.1.1.
разбежаться,2.3.2.1,2.3.2.1.2.3.
разбираться,2.3.2.1,2.3.2.1.3.1.
разведать,2.3.2.1,2.3.2.1.3.2.
развеселить,2.3.2.2,2.3.2.2.2.2.1.2.
развеселиться,2.3.2.2,2.3.2.2.2.2.1.1.
разволноваться,2.3.2.2,2.3.2.2.2.1.1.1.
разворошить,2.3.2.1,2.3.2.1.5.1.
развязать,2.3.2.3,2.3.2.3.1.6.1.
разгадать,2.3.2.1,2.3.2.1.2.5.
разгадать,2.3.2.1,2.3.2.1.3.1.
разглядеть,2.3.2.1,2.3.2.1.3.3.
разгневать,2.3.2.2,2.3.2.2.2.3.7.2.
разделить,2.3.2.1,2.3.2.1.2.6.
раздирать,2.3.2.2,2.3.2.2.2.3.4.2.
раздосадовать,2.3.2.2,2.3.2.2.2.3.6.2.
раздражить,2.3.2.2,2.3.2.2.2.3.6.2.
раздражиться,2.3.2.2,2.3.2.2.2.3.6.1.
раздразнить,2.3.2.3,2.3.2.3.3.
раздумать,2.3.2.3,2.3.2.3.1.4.
раздуматься,2.3.2.1,2.3.2.1.2.2.
раздумывать,2.3.2.1,2.3.2.1.2.2.
разжалобить,2.3.2.2,2.3.2.2.2.2.3.2.2.
разжечь,2.3.2.2,2.3.2.2.2.1.1.2.
разлюбить,2.3.2.2,2.3.2.2.2.2.2.1.
разлюбить,2.3.2.2,2.3.2.2.2.3.2.1.
размечтаться,2.3.2.1,2.3.2.1.2.4.2.
размыкать,2.3.2.2,2.3.2.2.3.2.1.
размыслить,2.3.2.1,2.3.2.1.2.2.
размышлять,2.3.2.1,2.3.2.1.2.2.
размягчить,2.3.2.2,2.3.2.2.2.2.3.2.2.
размякнуть,2.3.2.2,2.3.2.2.3.1.1.
разнежиться,2.3.2.2,2.3.2.2.3.1.1.
разнервничаться,2.3.2.2,2.3.2.2.2.3.5.1.
разобрать,2.3.2.1,2.3.2.1.3.3.
разобраться,2.3.2.1,2.3.2.1.3.1.
разобраться,2.3.2.1,2.3.2.1.3.3.
разогнать,2.3.2.3,2.3.2.3.1.2.1.1.
разомлеть,2.3.2.2,2.3.2.2.3.1.1.
разослать,2.3.2.3,2.3.2.3.1.2.1.2.
разочаровать,2.3.2.2,2.3.2.2.2.3.2.2.
разочароваться,2.3.2.2,2.3.2.2.2.3.2.1.
разрешать,2.3.2.1,2.3.2.1.3.3.
разрешать,2.3.2.3,2.3.2.3.1.6.1.
разрешить,2.3.2.1,2.3.2.1.3.3.
разрешить,2.3.2.3,2.3.2.3.1.6.1.
разубедить,2.3.2.1,2.3.2.1.6.2.
