n_dimensions,n_clusters,mean_ent,n_neighbors,run_id
300,3,0.9215515830191289,5,0
300,4,0.9228372607644888,5,1
300,5,0.9569685997932202,5,2
300,6,0.915257819381807,5,3
300,7,0.8661379360610747,5,4
300,8,0.8430519379506111,5,5
300,9,0.8632726229831187,5,6
300,10,0.8020497971344795,5,7
300,11,0.8180442535158022,5,8
300,12,0.7973836784418565,5,9
300,13,0.7589772634650976,5,10
300,14,0.7068605846423109,5,11
300,15,0.6968363130111029,5,12
300,16,0.7145752183001481,5,13
300,17,0.7205197827937353,5,14
300,18,0.7092474395575059,5,15
300,19,0.7117827962049552,5,16
300,20,0.7213873978824671,5,17
300,21,0.6713272740268053,5,18
300,22,0.6525557050353352,5,19
300,23,0.6436891046688494,5,20
300,24,0.6605964525710623,5,21
300,25,0.6321035704589558,5,22
300,26,0.6581840306100951,5,23
300,27,0.6558787001852068,5,24
300,28,0.6080005338930478,5,25
300,29,0.6069513302439931,5,26
300,30,0.6097650089973344,5,27
300,31,0.601332554518671,5,28
300,32,0.6017641837844974,5,29
300,33,0.5965112082225731,5,30
300,34,0.5935718562755007,5,31
300,35,0.5889940176341544,5,32
300,36,0.5974202376288238,5,33
300,37,0.5970688917947428,5,34
300,38,0.5988366285996127,5,35
300,39,0.5997718363548684,5,36
300,40,0.6135683455139527,5,37
300,41,0.6140919221002269,5,38
300,42,0.6078260784830469,5,39
300,43,0.5946277188419784,5,40
300,44,0.5828132153068496,5,41
300,45,0.5901240280068096,5,42
300,46,0.5808691250623543,5,43
300,47,0.5796291580755242,5,44
300,48,0.5717324135592353,5,45
300,49,0.5742455794277201,5,46
300,50,0.5722112471099599,5,47
300,51,0.5577868239057974,5,48
300,52,0.5508929195526929,5,49
300,53,0.5594363542250567,5,50
300,54,0.5487823780807095,5,51
300,55,0.5747270684273578,5,52
300,56,0.581026159452796,5,53
300,57,0.584891746988012,5,54
300,58,0.5776792028101935,5,55
300,59,0.5692772561985252,5,56
300,60,0.5569834904177717,5,57
300,61,0.5494963167909034,5,58
300,62,0.5459423684426385,5,59
300,63,0.5471309948269159,5,60
300,64,0.5495522313471675,5,61
300,65,0.5412898371275948,5,62
300,66,0.5485017469001288,5,63
300,67,0.5460892937472506,5,64
300,68,0.547648937995998,5,65
300,69,0.5432396654259997,5,66
300,70,0.5337601825100213,5,67
300,71,0.5366434076251325,5,68
300,72,0.5280015082093387,5,69
300,73,0.5271361247937935,5,70
300,74,0.5192644303251339,5,71
300,75,0.512651141195592,5,72
300,76,0.5054000791002308,5,73
300,77,0.49773486603225814,5,74
300,78,0.5010960662936729,5,75
300,79,0.5054771543278398,5,76
300,80,0.5081653008027056,5,77
300,81,0.5188411031565144,5,78
300,82,0.516564207796803,5,79
300,83,0.5068789261839685,5,80
300,84,0.5010876629605205,5,81
300,85,0.4961428512575095,5,82
300,86,0.48927265826433325,5,83
300,87,0.4824042994615108,5,84
300,88,0.4786572842979199,5,85
300,89,0.47697982913040904,5,86
300,3,0.9215515830191289,10,87
300,4,0.9228372607644888,10,88
300,5,0.9569685997932202,10,89
300,6,0.915257819381807,10,90
300,7,0.8661379360610747,10,91
300,8,0.8430519379506111,10,92
300,9,0.8632726229831187,10,93
300,10,0.8020497971344795,10,94
300,11,0.8180442535158022,10,95
300,12,0.7973836784418565,10,96
300,13,0.7589772634650976,10,97
300,14,0.7068605846423109,10,98
300,15,0.6968363130111029,10,99
300,16,0.7145752183001481,10,100
300,17,0.7205197827937353,10,101
300,18,0.7092474395575059,10,102
300,19,0.7117827962049552,10,103
300,20,0.7213873978824671,10,104
300,21,0.6713272740268053,10,105
300,22,0.6525557050353352,10,106
300,23,0.6436891046688494,10,107
300,24,0.6605964525710623,10,108
300,25,0.6321035704589558,10,109
300,26,0.6581840306100951,10,110
300,27,0.6558787001852068,10,111
300,28,0.6080005338930478,10,112
300,29,0.6069513302439931,10,113
300,30,0.6097650089973344,10,114
300,31,0.601332554518671,10,115
300,32,0.6017641837844974,10,116
300,33,0.5965112082225731,10,117
300,34,0.5935718562755007,10,118
300,35,0.5889940176341544,10,119
300,36,0.5974202376288238,10,120
300,37,0.5970688917947428,10,121
300,38,0.5988366285996127,10,122
300,39,0.5997718363548684,10,123
300,40,0.6135683455139527,10,124
300,41,0.6140919221002269,10,125
300,42,0.6078260784830469,10,126
300,43,0.5946277188419784,10,127
300,44,0.5828132153068496,10,128
300,45,0.5901240280068096,10,129
300,46,0.5808691250623543,10,130
300,47,0.5796291580755242,10,131
300,48,0.5717324135592353,10,132
300,49,0.5742455794277201,10,133
300,50,0.5722112471099599,10,134
300,51,0.5577868239057974,10,135
300,52,0.5508929195526929,10,136
300,53,0.5594363542250567,10,137
300,54,0.5487823780807095,10,138
300,55,0.5747270684273578,10,139
300,56,0.581026159452796,10,140
300,57,0.584891746988012,10,141
300,58,0.5776792028101935,10,142
300,59,0.5692772561985252,10,143
300,60,0.5569834904177717,10,144
300,61,0.5494963167909034,10,145
300,62,0.5459423684426385,10,146
300,63,0.5471309948269159,10,147
300,64,0.5495522313471675,10,148
300,65,0.5412898371275948,10,149
300,66,0.5485017469001288,10,150
300,67,0.5460892937472506,10,151
300,68,0.547648937995998,10,152
300,69,0.5432396654259997,10,153
300,70,0.5337601825100213,10,154
300,71,0.5366434076251325,10,155
300,72,0.5280015082093387,10,156
300,73,0.5271361247937935,10,157
300,74,0.5192644303251339,10,158
300,75,0.512651141195592,10,159
300,76,0.5054000791002308,10,160
300,77,0.49773486603225814,10,161
300,78,0.5010960662936729,10,162
300,79,0.5054771543278398,10,163
300,80,0.5081653008027056,10,164
300,81,0.5188411031565144,10,165
300,82,0.516564207796803,10,166
300,83,0.5068789261839685,10,167
300,84,0.5010876629605205,10,168
300,85,0.4961428512575095,10,169
300,86,0.48927265826433325,10,170
300,87,0.4824042994615108,10,171
300,88,0.4786572842979199,10,172
300,89,0.47697982913040904,10,173
300,3,0.9215515830191289,20,174
300,4,0.9228372607644888,20,175
300,5,0.9569685997932202,20,176
300,6,0.915257819381807,20,177
300,7,0.8661379360610747,20,178
300,8,0.8430519379506111,20,179
300,9,0.8632726229831187,20,180
300,10,0.8020497971344795,20,181
300,11,0.8180442535158022,20,182
300,12,0.7973836784418565,20,183
300,13,0.7589772634650976,20,184
300,14,0.7068605846423109,20,185
300,15,0.6968363130111029,20,186
300,16,0.7145752183001481,20,187
300,17,0.7205197827937353,20,188
300,18,0.7092474395575059,20,189
300,19,0.7117827962049552,20,190
300,20,0.7213873978824671,20,191
300,21,0.6713272740268053,20,192
300,22,0.6525557050353352,20,193
300,23,0.6436891046688494,20,194
300,24,0.6605964525710623,20,195
300,25,0.6321035704589558,20,196
300,26,0.6581840306100951,20,197
300,27,0.6558787001852068,20,198
300,28,0.6080005338930478,20,199
300,29,0.6069513302439931,20,200
300,30,0.6097650089973344,20,201
300,31,0.601332554518671,20,202
300,32,0.6017641837844974,20,203
300,33,0.5965112082225731,20,204
300,34,0.5935718562755007,20,205
300,35,0.5889940176341544,20,206
300,36,0.5974202376288238,20,207
300,37,0.5970688917947428,20,208
